name,code,average income,median age
"Adjuntas, PR",31000US10260,10499.0,37.8
"Aguadilla-Isabela, PR Metro Area",31000US10380,15616.0,39.8
"Arecibo, PR Metro Area",31000US11640,17047.0,39.6
"Coamo, PR",31000US17620,18233.0,37.7
"Coco, PR Micro Area",31000US17640,15240.0,36.5
"Guayama, PR",31000US25020,15114.0,37.6
"Jayuya, PR",31000US27580,16033.0,35.2
"Mayagüez, PR",31000US32420,15829.0,39.5
"Ponce, PR Metro Area",31000US38660,16296.0,37.9
"San German, PR Metro Area",31000US41900,15107.0,40.9
"San Juan-Carolina-Caguas, PR Metro Area",31000US41980,21802.0,38.5
"Santa Isabel, PR",31000US42180,15674.0,35.5
"Aberdeen, SD",31000US10100,53289.0,38.9
"Aberdeen, WA",31000US10140,43538.0,42.7
"Abilene, TX",31000US10180,44799.0,33.8
"Ada, OK",31000US10220,43261.0,35.3
"Adrian, MI",31000US10300,48043.0,40.9
"Akron, OH Metro Area",31000US10420,51160.0,40.1
"Alamogordo, NM",31000US10460,39775.0,35.6
"Albany, GA",31000US10500,37404.0,35.8
"Albany, OR Metro Area",31000US10540,45644.0,39.5
"Albany-Schenectady-Troy, NY Metro Area",31000US10580,62283.0,40.0
"Albemarle, NC",31000US10620,40910.0,41.8
"Albert Lea, MN",31000US10660,47105.0,44.6
"Albertville, AL",31000US10700,38983.0,38.8
"Albuquerque, NM Metro Area",31000US10740,48495.0,37.1
"Alexandria, LA",31000US10780,40591.0,37.4
"Alexandria, MN",31000US10820,54531.0,44.1
"Alice, TX",31000US10860,42986.0,34.6
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",31000US10900,58699.0,41.2
"Alma, MI",31000US10940,41912.0,38.9
"Alpena, MI",31000US10980,38829.0,47.1
"Altoona, PA",31000US11020,43981.0,42.8
"Altus, OK",31000US11060,41560.0,34.1
"Amarillo, TX",31000US11100,50383.0,34.4
"Americus, GA",31000US11140,33798.0,35.1
